Genero;Edad;Tipo_Hogar;Vive_rural;Actividad_Laboral;Trabajo_Esencial;Ingreso_Neto_Mensual;¿Hasta que punto está preocupado de que Usted o un miembro de su familia se pueda contagiar de Coronavirus COVID-19? ;¿Ha podido concentrarse bien en lo que hace?;¿Sus preocupaciones le han hecho perder el sueño?;¿Ha sentido que está jugando un papel útil en la vida? ;¿Se ha sentido capaz de tomar decisiones?;¿Se ha sentido constantemente agobiado y en tensión?;¿Ha sentido que no puede superar sus dificultades?;¿Ha sido capaz de disfrutar sus actividades normales de cada día?;¿Ha sido capaz de hacer frente a sus problemas?;¿Se ha sentido deprimido?;¿Ha perdido confianza en sí mismo?;¿Ha pensado que usted es una persona que no vale para nada?;¿Se siente razonablemente bien dadas las circunstancias actuales?;¿Ha experimentado problemas físicos derivados de la falta de actividad física?;¿Ha experimentado insomnio/problemas para dormir?;Aburrimiento;Sensación de aislamiento;Frustación;Irritación;Preocupación;Soledad;Impotencia;Rabia;Miedo;Nerviosismo;Tristeza;Culpa;Felicidad;Alivio;Acuerdo_Cumplimiento_Medidas;La personas importantes para mi respetan a rajatabla las medidas para frenar el contagio;En mi entorno directo he tenido conocimiento de muy pocos casos de personas que hayan infringido las medidas de prevención de contagio;Las personas que son importantes para mi piensan que respetar las medidas de prevención del contagio es lo correcto;Acuerdo_Presion_Social;Pensar en el COVID-19  me hace sentir ansioso/a;Me siento tenso/a cuando pienso en la amenaza del  COVID19
0;43;6;0;5;0;3;3;3;1;2;1;4;4;1;3;3;3;3;4;2;2;1;2;2;3;1;5;1;3;4;2;1;5;2;3;4;5;5;5;3;1;1
1;56;6;0;5;0;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;2;3;3;3;2;3;3;3;3;3;3;5;5;5;4;4;4
1;30;4;0;5;0;4;5;1;1;3;1;1;1;1;1;1;3;4;2;2;1;3;1;2;2;1;3;3;5;1;1;3;5;3;3;1;4;3;5;3;5;5
0;47;1;0;5;0;3;3;3;1;2;2;3;4;3;3;2;4;5;5;3;2;5;1;2;2;3;1;1;2;5;4;1;5;4;5;4;4;4;5;5;4;3
0;47;1;0;5;0;3;3;3;1;2;2;3;4;3;3;2;4;5;5;3;2;5;1;2;2;3;1;1;2;5;4;1;5;4;5;4;4;4;5;5;4;3
0;47;1;0;5;0;3;3;3;1;2;2;3;4;3;3;2;4;5;5;3;2;5;1;2;2;3;1;1;2;5;4;1;5;4;5;4;4;4;5;5;4;3
0;44;4;0;5;0;6;2;2;3;3;3;2;2;2;3;2;3;3;2;2;3;4;2;2;2;4;4;5;5;5;5;2;5;5;5;2;4;4;4;3;1;1
0;49;6;0;5;0;3;3;2;5;1;3;3;2;1;3;2;3;5;3;2;4;5;4;5;5;5;5;4;5;5;5;3;5;3;5;2;2;4;5;3;1;4
1;38;6;0;5;0;3;5;1;2;5;1;3;3;1;5;3;3;4;4;5;4;3;5;5;3;1;5;5;5;1;1;3;5;3;3;1;3;5;3;1;3;3
0;55;4;0;5;0;2;3;4;3;3;3;4;3;1;2;5;4;4;2;3;3;3;2;4;4;3;4;2;4;3;4;2;5;2;3;4;5;5;5;5;3;3
